ADM2_PT,Frelimo,MDM,Renamo,Outros_partidos,Total
Boane,38691,3446,14374,1364,57875
Magude,14697,516,1056,585,16854
Manhica,42792,2011,4446,3657,52906
Marracuene,33516,2757,10257,1200,47730
Cidade Da Matola,168763,15056,100211,11628,295658
Matutuine,12947,465,1413,278,15103
Moamba,18631,908,2778,666,22983
Namaacha,13222,513,1609,318,15662
Cidade De Maputo,240154,30448,108405,10483,389490
Bilene,57245,1385,2340,1561,62531
Chibuto,102943,1801,1725,1867,108336
Chicualacuala,17084,47,89,30,17250
Chigubo,12903,14,17,19,12953
Chokwe,147985,1997,1819,6538,158339
Chongoene,52203,1361,1786,702,56052
Guija,44446,283,343,665,45737
Limpopo,60512,1114,1479,1487,64592
Mabalane,16455,84,104,100,16743
Mandlakaze,51549,771,1742,626,54688
Mapai,13709,42,124,41,13916
Massangena,11509,29,35,31,11604
Massingir,18637,36,195,52,18920
Cidade De Xai-Xai,47064,3009,6382,1407,57862
Funhalouro,13580,215,359,351,14505
Govuro,7152,559,2807,447,10965
Homoine,21647,1134,2781,1062,26624
Cidade De Inhambane,20008,1371,3807,395,25581
Inharrime,15082,878,2606,1001,19567
Inhassoro,14897,582,1329,668,17476
Jangamo,14925,829,2286,931,18971
Mabote,15203,473,676,478,16830
Massinga,6283,436,2333,337,9389
Maxixe,24196,1876,4815,883,31770
Morrumbene,17628,1167,4916,1374,25085
Panda,10723,361,743,442,12269
Vilankulo,26133,1639,6083,1701,35556
Zavala,20056,1102,3603,1056,25817
Barue,56336,823,7707,649,65515
Cidade De Chimoio,61571,4756,30242,1015,97584
Gondola,32694,1472,10703,911,45780
Guro,22367,357,3953,569,27246
Macate,17572,413,4303,466,22754
Machaze,17426,464,8705,735,27330
Macossa,11995,183,2935,314,15427
Manica,39350,1406,11878,499,53133
Mossurize,26769,755,11780,820,40124
Sussundenga,27247,855,8173,595,36870
Tambara,13891,170,2715,191,16967
Vanduzi,38140,914,7851,678,47583
Cidade Da Beira,77109,49872,33993,297,161271
Buzi,15272,3075,10361,287,28995
Caia,23934,548,4178,188,28848
Chemba,16892,360,3352,200,20804
Cheringoma,8070,274,4308,244,12896
Chibabava,14057,305,2826,197,17385
Dondo,31818,3113,11025,20489,66445
Gorongosa,24344,1441,8818,848,35451
Machanga,7368,1565,2058,290,11281
Maringue,17892,413,3549,438,22292
Marromeu,46660,2978,6728,232,56598
Muanza,15053,242,2544,114,17953
Nhamatanda,42614,2370,16311,1407,62702
Angonia,36761,3006,34230,2012,76009
Cahora Bassa,37203,632,2199,319,40353
Changara,40626,224,1176,224,42250
Chifunde,26738,419,4047,380,31584
Chiuta,24483,355,2041,293,27172
Doa,17340,319,3838,669,22166
Macanga,29200,382,3640,80,33302
Magoe,31403,238,1316,181,33138
Marara,21880,257,1038,182,23357
Maravia,15456,324,5065,500,21345
Moatize,34274,1553,23728,1274,60829
Mutarara,38654,820,5772,438,45684
